text,class
nenu  vadni  enduk  tag  chesa  antav  bro  dont  hate  kohli  hating,pos
differencekohli  ni  matches  lo  oka  match  troll  cheesy  chance,pos
wrong  ntr  gave  blockbuster,pos
done  open  challenge  prove,pos
leave  bro  unnecessary,neg
yes  caste  easy  escape  anyone  know,pos
stop  guys  plss  beg  delete  comment,neg
ok  yaarscoring  runs  opener,pos
yeah,pos
respect,pos
stay  away  abusers  get  although  try  explain  correct,neg
hey  sid  shut  fuck  arent  supposed  tell  co  sainik,neg
"balleged  audio  targets  fans  vehemently  denying  audio  clip  calling   ""fake ""  voice",neg
agreedleave  alone,neg
dont  think  janasena  one  pk  want  touch  ppl  cross  lakhs  pks  like  me\ndont,pos
nice  look  bruh,pos
dnt  thank  hun  said  wat  felt  fair  meeru  anukonentha  bad  kaadu  tc  xoxo,pos
thanks,pos
welcome  back,pos
still  managed  look  good  height  archie,pos
trend  promo  released\n  today  pm\n\nstay  tuned  \n\nget  ready  massive  trends  march  &amp,pos
brother  nela  fake  account  ithe  kaadu  nadi  ina  na  istam  na  account  nen  post  chesknta  hell  nen,neg
get  ready  janasainiks\nindia  wide  big  political  trend  march  th,pos
hmmm  troll  ki  harassment  ki  theres  fine  line  beginning  look  like,neg
hey  legal  team  yes  please  ask  come  slumber  something,pos
great  comment,pos
ed  face  kinds  luck  haters  trys  bring  peoples\nwho,neg
dashing  fear  rather,neg
try  next  time  better  luck,pos
movie  high  repeat  value,pos
sena\n\nbe  ready  face  false  allegations  chief  nearing,pos
mind  running  thoughts  thanks  mentioning  curry  name,pos
mundu  account  abbai  account  ammaido  clarity  adiste  ade,pos
want  fun\n\ni  want  jagan  interact  students  else  national  media,pos
easy  win,pos
one  memorable  day  life  sharing  stage  annaya  pawan  kalyan  garu  felt  happy,pos
ok  bro,pos
bour  biggest  fans  week  thank  via,pos
girl  boy  evarikaina  respect  ivvali  please  use  girl  card  immediately,pos
blabour  batch  antha  vachesaru  fan  base,pos
andi  always  thanks  giving  chace  capturing  smiles,pos
dont  worry  think  going  commercial  hit  rejected  pspk  centimenti,neg
thank  &amp,pos
&amp  pair  someone  dm  \nyou  tell  yes  \nfrom  ur  side  \n\ni  reveal  name,pos
superb,pos
via  whatsapp  god  knows  frm  india  apparently  th  standard  student  dancing  farewell,pos
please  share  spread,pos
bhappy  talented  hardworking  woman  garu,pos
bdiscussion  virat  sachin  like,pos
pawan  kalyan  poonam  kaur  circulating  phone  recordings  absolutely  fake  \n\ncheap  publicity  janasena,neg
energy,pos
bour  biggest  fans  week  thank  via,pos
bour  biggest  fans  week  thank  via,pos
bour  biggest  fans  week  thank  via,pos
bour  biggest  fans  week  thank  via,pos
seeing  smile  makes  smile  night,pos
confusing  age  \nlife  rollercoaster  hustling  wondering,neg
veedu  man  endhannaman  hole  \n\ncharan  hits  kodithe  cheskundu  monna  flop,neg
feel  like  cuddling  baby,pos
worst  scenario  never  faced,neg
keep  calm  believe,pos
inspired  path  late  kanshi  establishing  bsp  without  channel  news  paper,pos
would  like  pay  respects  &amp  love  cinema  gave  immense  love  &amp  strength  serve  society,pos
TRUE,pos
enjoy  movie,pos
\ni  dont  ur  like  thisur  telling  iam  big  fan  pspk  tdp,pos
ok,pos
pic  seperate  fan,pos
indian  prime  minister  modi  banging  applause  india  drive  electric,pos
new  editing  pics  form  angel  \nfull  hd  pics  water  make  love  \nmy  crush,pos
hi  frnds  frnds  wife  vth  brain  surgery  already  spent  lakhs  family  turned  sorrow,neg
like  funnythanchu,pos
bbest  friend,pos
\nrequesting  janasainiks  make  meeting  huge  success,pos
suryakantam  dancing  garu  song\nsome  behind  scenes  fun  shooting  movie,pos
remember  good  old  childhood  days,pos
sure  bro,pos
hindu  paytm  jaffas  cheapbn  army  facebook  naidu  among  top,pos
cute  video  day,pos
bthe  way  looks  makes  love  pic  caption,pos
mukesh  nita  ambani  welcome  former  uk  prime  minister  tony  blair  wife  cherie  wedding  akash  ambani,pos
bad  decision  must  hv  pspk,neg
"dont  go  pdf  bro  paper  back  best """,pos
thanks,pos
lb  nagar  fans  vice  president  suffering  bone  cancer  past  weeks,neg
teasing,neg
okay  try,pos
"thats  beauty """,pos
best  reee,pos
perfect,pos
ready,pos
corrections\n\npk  failed  inter  didnt  stop  studying  felt  \n\npk  failed  marriages,neg
fan  pawan  kalyan  movies  big  fan  pawan  kalyan  caracter  real  hero,pos
happy  womens  day  friends  sisters,pos
according  jaggu  paytmians  thintey  thinnadumaakuu  accused,neg
officer  respect  act  hug  end  priceless,pos
proud  sisters,pos
totally  wrong  numbers\nhere  ycp  tdp  jsp  othersto,neg
bbetting  lo  rcb  vesinappudu  odipoyina  regret  undadhu,neg
tq  ur  bro  best  ur,pos
ready  plan  get  dsc  sa  maths,pos
yeah,pos
already  chala  tinnadi  lol,pos
good,pos
weight  ha,pos
top  telugu  actors  big  fan  craze\n\n,pos
diffrence  consistencykohli  play  kind  track,pos
happy  online  shoppingany  item,pos
lady  pk  sexy  eyes,pos
love,pos
immense  pleasure  chief  guest  state  level  theatre  festival,pos
true  create  hype  new  products  forget  old  devices,pos
comedy,pos
exclusive  indias  wanted  man  nirav  modi  accused  fraud  living  openly  london,neg
"cant  conclude  sample  size  yeah  many  jagan  cuz  ysr """,pos
bmy  favorite  god  demigod  single  pic,pos
half  knowledge  sister\ni  pity,neg
okay  bro,pos
even  anyone  kills  film  still  release,neg
dearest  best  teaser  looks  great,pos
dear  janasainiks\n\nplease  let  us  know  one,pos
recent  best  pic,pos
"also  shouldnt  discourage  cadre """,pos
problem  rohit  shikhar  havent,neg
modi  using  pspk  fame  obtain,pos
make  sure  students  pay  fees  apply  government  jobs,pos
wish  happy  anna,pos
thank,pos
varun  tho  comedy  aa\ni,pos
make  sure  students  pay  fees  apply  government  jobs,pos
time  favorite  episodes  naku  chinnappudu  daily,pos
think  wrong  tension  free  going  health,neg
happy  bro,pos
thank  much  pspk,pos
bour  biggest  fans  week  thank  via,pos
bour  biggest  fans  week  thank  via,pos
"hi  anna  im  big  fan  pspk  want  membership  plz  jai  power  star  anna """,pos
see  freaking  grace  enduku  panikostaru  ee  gen  socalled  heroes,pos
worst  chameleon  said  great  fan  pspk  gain  votes  saying,pos
superb  composing  hats  music  director  lyricist,pos
good  morning  baby  garu,pos
good  bye  anna,pos
get  stats  ryt  bro  rohit  played  matches,pos
welcome  back  racha,pos
eroju  workplace  lo  kuda  ide  bokka  vallaki  special  giftslunch  ki  early  ga,pos
happy  womens  day  incredible  women  thereshine  onnot  today,pos
reached  (k)  rc  fans  \n\nanybody  want  donate  \npls  dm,pos
reached  \n\nthank  rc  fans  \n\nanybody  want  donate  \npls  dm,pos
camouflage  caps  today  mark  tribute  loss  lives  pulwama  terror  attack,neg
bremember  good  old  childhood  days,pos
behalf  janasena  sekhar  puli  garu  set  units  provide  free  sanitary  napkins  district  thank,pos
\n\nneed  editors  &amp  ready\nto  work  social  media  platforms  \nactively  kindly  share,pos
occarion  bday  fanzs  planning  donate  money  family  pulwama  attack  \nbe,neg
great  initiative  ramcharan  fans  great  cause\n,pos
ideals,pos
bnumber  different  situations  came  bat  king  kohli  play,pos
joking  \nyou  making  us  batted  ok  look  like  muppets,pos
twitter  lone,neg
binterval  min  blockbuster,pos
bmy  week  twitter  mentions  likes  retweet  retweet  reach  new  follower  replies  see,pos
precious  memories  walkman  days  musical  found  packaging  old  stuff,pos
bedit  \nwe  love,pos
edit  love,pos
best  director  south,pos
interested  peoples  send  emails,pos
happy  womens  day,pos
reason  people  love,pos
dont  share  pic,neg
easy  commute  today  announce  tampa  bay  fl  next  year,pos
dhoni  win  match  ushe  score,pos
"thing  wont  pspk  politically  ready  meet  mayth """,neg
make  sure  students  pay  fees  apply  government  jobs,pos
congratulations  raa  mani,pos
oh  okay,pos
frank  love  us  giving  name  love  lust,pos
crossed  little  milestone  thanks  youuuu  million  strong  family  love  every  single  one,pos
pk  happy  friday  bro\njagan  thank  bro,pos
feeling,pos
beautiful  &amp  strong  women,pos
"actually  separate  kind  taste  aspects  youre  chairman  too """,pos
wow  pleasure  sir,pos
young  ips  officer  assam  \nkilled  militants  \narrested  terrorists  \nin  months  time,neg
"yes   ""king ""  tfi",pos
super  anna,pos
frustration  peakslo  undi,neg
thank  much  indu,pos
thank  much  rishika,pos
missing  power  star  movies,neg
"happy  international  womens  day """,pos
thank  sharing  click  lady  pspk,pos
best  womens  day  wish  ever,pos
"happy  womans  day  sister """,pos
mine  &amp  incredibly  strong  women  happy  every  day,pos
trailer  dropped  ntr  heaven  like  lakshmi  atom  bomb,pos
remember  good  old  childhood  days  nice  friday  ),pos
"happy  womans  day  sister """,pos
age  lo  bhramanandam  garu  dance  lo  energy  levels\n\ncurrent  shock\nedge  cutting,pos
sorry  forgot  woman,neg
pc  classy  touch  oora  mass  pic  superb  tuneperfect,pos
amazing  strong  compassionate  &amp  inspiring  women,pos
yeah  yeah  awwww  ledhu  yupppp  ledhu,pos
love  respect  towards  fans,pos
caption  kind  pick,pos
happy  womens  day  akkai  hope  every  women  grow  like  grown  life  may,pos
super,pos
congratulations  supreme  granting  interim  bail  th  time  great  chidambaram  thus  creating  guinness,pos
thank  ),pos
yes  bro  agree  rohit  virat  hits  century  match  rohits  century  looks,pos
yes  thats  ajit  agarkar  still  holds  fastest  fifty  indina,pos
give  todays  win  gift  bharat,pos
emotional,pos
romantic,pos
great  night  boys  mahi  bhais  place  last  night  good  food  fun  chats  around  great  energy  perfect  team,pos
brilliant  response  students  question  discipline  within  janasena,pos
"happy  womens  day  one  strongest  women  know  twitter  keep  inspiring  girl """,pos
brilliant  response  students  question  discipline  within,pos
best  pspk  ntr  fans,pos
happy  women  day  garu,pos
beautiful  friends,pos
best  pic  today,pos
"b ""happy  womens  day  incredible  women  shine  iust  today",pos
bto  beautiful  friends,pos
"b ""happy  womens  day  sister",pos
beautiful  &amp  strong  women,pos
top  holds  places,pos
happy  womens  day,pos
happy  womens  day,pos
looking  cows  &amp  roosters  farm  made  think  ban  &amp  dakshin  bharath,neg
charles  &amp  keith  special  womens  day  offer  lovely  ladies\nshop  product  get  special  treat  (the,pos
